Name of Politician,Twitter Handle,Party Belongs to,#Trending,Status,Ex politicians,Twitter handle,Party Accounts,Party Handles,Party
Satish Upadhyay,upadhyaysbjp,BJP,,,,,,,
Mangal Pandey,mangalpandeybjp,BJP,,,,,,,
Jayant Sinha,jayantsinha,BJP,,,,,,,
Ram Madhav,rammadhavbjp,BJP,,,,,,,
Mukhtar Abbas Naqvi,naqvimukhtar,BJP,,,,,,,
Sushil Modi,SushilModi,BJP,,,,,,,
Ghulam Nabi Azad,ghulamnazad‏,INC,,,,,,,
ABHAY SINGH CHAUTALA,ABHAYCHAUTALA,INC,,,,,,,
Omar Abdullah,OmarAbdullah,INC,,,,,,,
chennithala ‏Ramesh,chennithala ‏,INC,,,,,,,
Siddaramaiah,Siddaramaiah4CM,INC,,,,,,,
Amarinder Singh,capt_amarinder,INC,,,,,,,
V Narayanasami,VNarayanasami,INC,,,,,,,
Rahul Gandhi,RahulGandhi,INC,,,,,,,
SashiTharoor,SashiTharoor,INC,,,,,,,
Jairam Ramesh,Jairam_Ramesh,INC,,,,,,,
Nitish Kumar ‏,NitishKumar ‏,Janata Dal,,,,,,,
Ramvilas Paswan,iramvilaspaswan,Lok Jan Shakti Party,,,,,,,
Pinarayi vijayan,vijayanpinarayi,Marxist,,,,,,,
Chandrababu Naidu,ncbn,Telugu Desam Party,,,,,,,
Mamata Bannerjee,MamataOfficial ‏,TMC,,,,,,,
Dinesh Gundu Rao,dineshgrao,INC,,,,,,,
KJ George,thekjgeorge,INC,,,,,,,
Priyank Kharge,PriyankKharge,INC,,,,,,,
Krishna Byre Gowda,krishnabgowda,INC,,,,,,,
Sachin Pilot,SachinPilot,INC,,,,,,,
Sunil Deodhar,Sunil_Deodhar,BJP,,,,,,,
Amit Malviya,malviyamit,BJP,,,,,,,
LALU PRASAD,laluprasadrjd,RJD,,,,,,,
Rajesh Dixit,rajeshkdixit,Samajwadi Party,,,,,,,
Manish Tewari,ManishTewar ‏,INC,,,,,,,
Asaduddin Owaisi,asadowaisi,AIMIM,,,,,,,
Rajiv Shukla,ShuklaRajiv,INC,,,,,,,
Ajay Maken,ajaymaken ‏,INC,,,,,,,
PChidambaram_IN,PChidambaram_IN,INC,,,,,,,
Pavan K Verma,PavanK_Varma,Janta Dal,,,,,,,
Yashwant Sinha,Yashwant Sinha,BJP,,,,,,,
Sheila Dikshit,SheilaDikshit‏,INC,,,,,,,
Randeep Singh Surjewala,rssurjewala,INC,,,,,,,
Raj Babbar,RajBabbarMP,INC,,,,,,,
Shankersinh Vaghela,ShankersinhBapu,Janata Party,,,,,,,
Deepender S Hooda,DeependerSHooda,INC,,,,,,,
Harish Rawat,harishrawatcmuk ‏,INC,,,,,,,
Virbhadra Singh,virbhadrasingh ‏,INC,,,,,,,
Captain Amrinder Singh,capt_amarinder ‏,INC,,,,,,,
Prithvi Raj Chauhan,prithvrj ‏,INC,,,,,,,
Ashok Gehlot,ashokgehlot51 ‏,INC,,,,,,,
Sanjay Nirupam,sanjaynirupam ‏,INC,,,,,,,
Raj Brar,RajaBrar_INC ‏,INC,,,,,,,
Varun Gandhi,varungandhi80 ‏,INC,,,,,,,
Tarun Tewatia,TarunTewatiadyc,INC,,,,,,,
Dr. Raghu SHarma,RaghusharmaINC ‏,INC,,,,,,,
Sachin Kundu,SachinKunduIYC ‏,INC,,,,,,,
Paresh DhananiVerified account,paresh_dhanani ‏,INC,,,,,,,
Jitu Patwari,jitupatwari ‏,INC,,,,,,,
Ahmed Patel,ahmedpatel ‏,INC,,,,,,,
Sharad Pawar,PawarSpeaks ‏,NCP,,,,,,,
Kamal Kishore,KamalKishor_INC,INC,,,,,,,
Sharad Yadav,SharadYadavMP ‏,Janata Dal,,,,,,,
Kapil Sibal,KapilSibal ‏,INC,,,,,,,
Milind Deora,milinddeora ‏,INC,,,,,,,
Sanjay Jha,JhaSanjay ‏,INC,,,,,,,
Naveen Jindal,MPNaveenJindal ‏,INC,,,,,,,
Amit chavada,AmitChavdaINC ‏,INC,,,,,,,
Dharmendra Pradhan,dpradhanbjp ‏,BJP,,,,,,,
Jitin Prasada,JitinPrasada ‏,INC,,,,,,,
Supriya Sule,supriya_sule ‏,NCP,,,,,,,
Priya Dutt,PriyaDutt_INC ‏,INC,,,,,,,
Arjun Modhwadia,arjunmodhwadia ‏,INC,,,,,,,
Meira Kumar,meira_kumar ‏,INC,,,,,,,
Priyanka Chaturvedi,priyankac19 ‏,INC,,,,,,,
Navjot singh Sidhu,sherryontopp ‏,INC,,,,,,,
Pawan Khera,Pawankhera ‏,INC,,,,,,,
Rajeev Satav,SATAVRAJEEV ‏,INC,,,,,,,
Divya Spandana/Ramya,divyaspandana,INC,,,,,,,
Amarinder Singh Raja,RajaBrar_INC ‏,INC,,,,,,,
Tarun Gogoi,tarun_gogoi ‏,INC,,,,,,,
Nabam Tuki,NabamtukiCM,INC,,,,,,,
Tejashwi Yadav,yadavtejashwi ‏,INC,,,,,,,
Akhilesh Yadav,yadavakhilesh ‏,SP,,,,,,,
Jyotiraditya Scindia,JM_Scindia ‏,INC,,,,,,,
R Vikhe Patil,RVikhePatil,INC,,,,,,,
Rahul Ramesh Shewale,shewale_rahul,Shiv Sena,,,,,,,
Bikram Majithia,bsmajithia ‏,Akali Dal,,,,,,,
Dr. Daljit Cheema,Dr_Cheema1 ‏,Akali Dal,,,,,,,
Manjinder S Sirsa,mssirsa,Akali Dal,,,,,,,
Eknath Shinde,mieknathshinde,Shiv Sena,,,,,,,
Subhash Desau,Subhash_Desai,Shiv Sena,,,,,,,
Gajanan Kirtikar,GajananKirtikar,Shiv Sena,,,,,,,
Bhagwant Mann,BhagwantMann,AAP,,,,,,,
Ankit Lal,AnkitLal,AAP,,,,,,,
Shrikant Eknath Shindi,DrSEShinde,Shiv Sena,,,,,,,
Aditya Thakeray,AUThackeray,Shiv Sena,,,,,,,
Sharmistha Mukherjee,Sharmistha_GK,INC,,,,,,,
Amrita Dhawan,AmritaDhawan1 ‏,INC,,,,,,,
Praful Patel,praful_patel,NCP,,,,,,,
Singai GRamachandran,RamaAIADMK,AIADMK,,,,,,,
Pandiarajan K,mafoikprajan,AIADMK,,,,,,,
Hari Prabhakaran,Hariadmk,AIADMK,,,,,,,
Dr. P. Thiaga Rajan,ptrmadurai‏,DMK,,,,,,,
Derek O'Brien,derekobrienmp,TMC,,,,,,,
Abhishek Banerjee,abhishekaitc,TMC,,,,,,,
Subramanian Swamy,Swamy39,BJP,,,,,,,
