11,15
12,25
15,30
16,15
31,16
31,15
15,17
19,9
9,17
4,15
25,19
36,25
28,11
26,15
15,9
25,0
25,24
13,25
10,25
7,25
25,13
25,13
25,9
25,9
10,36
25,0
25,0
25,0
25,0
25,7
7,25
29,9
10,36
7,9
12,11
9,12
3,17
27,25
16,27
18,11
11,12
1,27
18,34
26,7
12,15
26,29
12,16
26,29
28,10
26,11
9,16
12,26
8,25
8,10
8,12
11,15
10,25
10,25
10,8
8,10
10,8
10,8
10,26
10,11
10,25
10,15
8,10
10,19
10,0
25,11
10,8
10,8
10,8
10,19
10,19
7,10
10,8
10,8
10,8
8,10
9,12
11,29
3,9
9,26
11,9
26,7
11,9
2,11
12,9
1,2
1,11
1,29
11,0
1,11
1,15
9,25
25,0
25,26
9,25
26,16
26,12
9,29
8,19
9,25
1,12
19,15
10,19
10,25
10,16
19,25
9,0
9,0
9,12
1,19
9,12
9,11
18,9
9,15
18,9
10,8
25,6
14,3
1,2
1,7
9,0
25,15
3,9
12,9
9,0
11,15
11,15
1,11
9,0
9,15
18,9
14,16
36,10
8,0
10,25
9,25
9,0
12,9
9,12
9,12
4,12
9,12
9,12
9,0
9,0
7,9
9,18
9,0
18,9
9,0
9,1
9,0
9,0
36,10
10,15
2,9
9,0
9,25
36,10
15,11
34,11
10,9
10,9
11,9
9,0
9,12
9,0
9,12
9,25
1,26
1,19
9,0
18,9
9,0
9,12
9,10
1,28
11,0
1,26
1,20
9,0
18,9
3,9
9,0
9,0
18,9
17,26
1,26
9,0
9,0
9,15
10,9
10,9
10,9
15,9
3,18
9,10
6,10
9,12
9,0
10,25
10,25
27,10
1,11
17,26
10,1
26,9
1,10
1,10
26,28
1,26
1,0
13,10
26,9
18,29
25,0
29,0
7,9
19,28
3,34
11,22
4,9
1,19
19,11
19,26
28,16
9,11
3,9
9,26
9,25
9,15
9,12
3,9
9,28
19,9
19,9
9,11
9,11
9,0
12,15
19,12
9,0
19,9
19,28
9,26
9,25
9,0
19,34
9,25
9,0
28,34
26,7
9,4
12,9
9,4
9,12
17,26
3,9
17,26
3,26
8,10
29,15
3,26
17,26
3,9
31,28
25,11
27,9
25,12
18,9
26,36
10,20
25,16
25,12
9,12
11,0
19,28
11,0
3,9
3,9
29,9
19,9
9,0
11,9
11,10
8,9
28,11
3,11
9,11
29,7
1,29
11,21
9,11
7,31
26,11
